"ID","nomArch","coteArch","dateEntree","nature","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt","dateYear"
626,"Archives municipales d'Avignon","1088W","07/03/2012","Archives publiques","Versement",NA,NA,"Hygiène","10 articles de dossiers de plaintes et de LRCO (2003-2006)","Support papier","1",10,"2012"
627,"Archives municipales d'Avignon","1089W","04/04/2012","Archives publiques","Versement",NA,NA,"Opéra","Factures (2007)","Support papier","0,5",1,"2012"
628,"Archives municipales d'Avignon","1090W","27/03/2012","Archives publiques","Versement",NA,NA,"Commande publique","100 articles de CONR (2009-2011).","Support papier","13,6",100,"2012"
629,"Archives municipales d'Avignon","1092W","25/04/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Direction des achats et des équipements / cellule des marchés, 54 articles (1971-2001)","Support papier","7,2",54,"2012"
630,"Archives municipales d'Avignon","1093W","25/04/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Direction des affaires financières / Réclamations - Contentieux, 39 articles (1957-1998)","Support papier","3,6",39,"2012"
631,"Archives municipales d'Avignon","1094W","15/05/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Secrétariat général","Support papier","30",0,"2012"
632,"Archives municipales d'Avignon","1095W","15/05/2012","Archives publiques","Versement",NA,NA,"Centre hospitalier Henri Duffaut","Secrétariat général, stratégie, planification et communication, 132 articles : registres de décès, de naissances , des entrants et des sortants  (1982-2009)","Support papier","6",132,"2012"
633,"Archives municipales d'Avignon","1Z","23/05/2012","Archives privées","Don",NA,NA,"Lot de documents manuscrits","Correspondances et actes divers (XVIIème-XVIIIème siècles) concernant Villeneuve-les-Avignon et le Gard. On y trouve aussi une petite correspondance entre Henri de Pontmartin et le Dr Rémy-Roux au sujet du centenaire de la naissance de son père.","Support papier","0,05",1,"2012"
634,"Archives municipales d'Avignon","58Z","22/04/2010","Archives privées","Don",NA,NA,"Lot de manuscrits de la famille Duprat","Documents trouvés dans les greniers de l'hôtel Jean de Sudre, rue Pente-Rapide à Avignon par Dominique Carru.","Support papier","0,05",1,"2010"
635,"Archives municipales d'Avignon","7Fi131","10/01/2009","Archives privées","Don",NA,NA,"Carte de voeu photographique",NA,"Support papier","0,01",1,"2009"
