"ID","nomArch","coteArch","dateEntree","statutJur","modeEntree","servProd","typeProd","activiteProd","descContenu","natureSupport","mlEntree","nbreArt"
6909,"Archives municipales de St Etienne",NA,"10/04/2008","Archives publiques","Versement",NA,NA,"Documents comptables et autres (suite de l'entrée 6875), classé en 6663W","Documents comptables et autres (suite de l'entrée 6875), classé en 6663W","Support papier","0,00",0
6910,"Archives municipales de St Etienne","FI","09/04/2008","Archives publiques","Versement",NA,NA,"Photo aérienne de l'aménagement du golf.","Photo aérienne de l'aménagement du golf.","Support papier","0,05",1
6911,"Archives municipales de St Etienne","S","24/03/2008","Archives privées","Achat",NA,NA,"3 journaux relatant des évènements stéphanois","3 journaux relatant des évènements stéphanois","Support papier","0,05",3
6912,"Archives municipales de St Etienne","NUM","09/04/2008","Archives privées","Don",NA,NA,"154 photos numériques de Stéphanois prises sur le domaine public, dans les années 50.","154 photos numériques de Stéphanois prises sur le domaine public, dans les années 50.","Support papier","0,05",154
6913,"Archives municipales de St Etienne","S","11/02/2008","Archives privées","Don",NA,NA,"Mémoire de maîtrise d'histoire sur le cinéma à Saint-Etienne.","Mémoire de maîtrise d'histoire sur le cinéma à Saint-Etienne.","Support papier","0,10",1
6914,"Archives municipales de St Etienne","S","07/04/2008","Archives privées","Don",NA,NA,"Documents sur le cinéma à Saint-Etienne.","Documents sur le cinéma à Saint-Etienne.","Support papier","0,05",0
6915,"Archives municipales de St Etienne","AV","07/04/2008","Archives privées","Don",NA,NA,"Témoignages oraux sur le STO, la vie sous l'Occupation, le front des Alpes (2nde Guerre mondiale) et la guerre d'Algérie.","Témoignages oraux sur le STO, la vie sous l'Occupation, le front des Alpes (2nde Guerre mondiale) et la guerre d'Algérie.","Support papier","0,05",9
6916,"Archives municipales de St Etienne","EL","09/04/2008","Archives publiques","Versement",NA,NA,"Subventions accordées aux associations","Subventions accordées aux associations","Support papier","2,00",13
6917,"Archives municipales de St Etienne","AV","10/04/2008","Archives publiques","Versement",NA,NA,"Témoignages oraux collectés par le personnel scientifique des Archives auprès des joueurs, dirigeants de l'ASSE et de journalistes sportifs.","Témoignages oraux collectés par le personnel scientifique des Archives auprès des joueurs, dirigeants de l'ASSE et de journalistes sportifs.","Support papier","0,10",15
6918,"Archives municipales de St Etienne","W","07/05/2008","Archives publiques","Versement",NA,NA,"Attribution des marchés : dossier de consultation des entreprises, avis, procès verbaux, correspondance.","Attribution des marchés : dossier de consultation des entreprises, avis, procès verbaux, correspondance.","Support papier","6,30",48
6919,"Archives municipales de St Etienne",NA,"10/04/2008","Archives publiques","Versement",NA,NA,"84 Cassettes vidéo du Conseil municipal (versement de Georges Flores, directeur de l'image)","84 Cassettes vidéo du Conseil municipal (versement de Georges Flores, directeur de l'image)","Support papier","0,30",2
6920,"Archives municipales de St Etienne","W","07/05/2008","Archives publiques","Versement",NA,NA,"Attribution des marchés : dossier de consultation des entreprises, avis, procès verbaux, correspondance.","Attribution des marchés : dossier de consultation des entreprises, avis, procès verbaux, correspondance.","Support papier","10,65",72
6921,"Archives municipales de St Etienne","W","07/05/2008","Archives publiques","Versement",NA,NA,"Versement de Françoise Goubeyre, adjointe à la culture : documentation sur les théâtres de Saint-Etienne et des environs","Versement de Françoise Goubeyre, adjointe à la culture : documentation sur les théâtres de Saint-Etienne et des environs","Support papier","0,40",3
6922,"Archives municipales de St Etienne","S","23/05/2008","Archives privées","Dépôt",NA,NA,"Juin 1940 : la bataille pour Menton (mémoires de Michel Laugier illustrées par Maurice Passemard).","Juin 1940 : la bataille pour Menton (mémoires de Michel Laugier illustrées par Maurice Passemard).","Support papier","0,05",1
6923,"Archives municipales de St Etienne","S","23/05/2008","Archives privées","Don",NA,NA,"""La fête révolutionnaire"" (2 fascicules)","""La fête révolutionnaire"" (2 fascicules)","Support papier","0,05",1
6924,"Archives municipales de St Etienne","S","21/12/2007","Archives privées","Don",NA,NA,"Mémoire de maîtrise d'histoire de Gilles Massacrier ""Mai-juin 68 à Saint-Etienne, ville ouvrière.""","Mémoire de maîtrise d'histoire de Gilles Massacrier ""Mai-juin 68 à Saint-Etienne, ville ouvrière.""","Support papier","0,10",1
6925,"Archives municipales de St Etienne","EL","09/06/2008","Archives publiques","Versement",NA,NA,"DOSSIERS RECRUTEMENT JURY GEC2","DOSSIERS RECRUTEMENT JURY GEC2","Support électronique","1,40",9
6926,"Archives municipales de St Etienne","W","26/06/2008","Archives publiques","Versement",NA,NA,"Dossiers individuels CES, remboursement CNASEA.","Dossiers individuels CES, remboursement CNASEA.","Support papier","0,45",3
6927,"Archives municipales de St Etienne","W","20/02/2008","Archives publiques","Versement",NA,NA,"CD des bulletins municipaux de 2007","CD des bulletins municipaux de 2007","Support papier","0,05",1
6928,"Archives municipales de St Etienne","EL","13/06/2008","Archives publiques","Versement",NA,NA,"Gestion de la paie","Gestion de la paie","Support papier","9,60",64
6929,"Archives municipales de St Etienne","W","25/06/2008","Archives publiques","Versement",NA,NA,"Objets protocolaires.","Objets protocolaires.","Support papier","4,20",10
6930,"Archives municipales de St Etienne","EL","26/06/2008","Archives publiques","Versement",NA,NA,"Gestion du Palais, dossiers des spectacles, affiches","Gestion du Palais, dossiers des spectacles, affiches","Support papier","22,80",125
6930,"Archives municipales de St Etienne","W","26/06/2008","Archives publiques","Versement",NA,NA,"Gestion du Palais, dossiers des spectacles, affiches","Gestion du Palais, dossiers des spectacles, affiches","Support papier","22,80",125
6930,"Archives municipales de St Etienne","W","26/06/2008","Archives publiques","Versement",NA,NA,"Gestion du Palais, dossiers des spectacles, affiches","Gestion du Palais, dossiers des spectacles, affiches","Support papier","22,80",125
6930,"Archives municipales de St Etienne","W","26/06/2008","Archives publiques","Versement",NA,NA,"Gestion du Palais, dossiers des spectacles, affiches","Gestion du Palais, dossiers des spectacles, affiches","Support papier","22,80",125
6931,"Archives municipales de St Etienne","AV","30/06/2008","Archives privées","Don",NA,NA,"2 plaquettes ""Honoré Blanc""; 1 DVD interview de Ken Alder du 22 février 2006","2 plaquettes ""Honoré Blanc""; 1 DVD interview de Ken Alder du 22 février 2006","Support papier","0,05",2
6931,"Archives municipales de St Etienne","S","30/06/2008","Archives privées","Don",NA,NA,"2 plaquettes ""Honoré Blanc""; 1 DVD interview de Ken Alder du 22 février 2006","2 plaquettes ""Honoré Blanc""; 1 DVD interview de Ken Alder du 22 février 2006","Support papier","0,05",2
6932,"Archives municipales de St Etienne","W","10/07/2008","Archives publiques","Versement",NA,NA,"Dossiers de F. Enjolras, directrice : capitale européenne de la culture, documentation prestataires, propreté, Aujourd'hui Saint-Etienne.","Dossiers de F. Enjolras, directrice : capitale européenne de la culture, documentation prestataires, propreté, Aujourd'hui Saint-Etienne.","Support papier","5,40",46
6933,"Archives municipales de St Etienne","S","20/06/2008","Archives privées","Don",NA,NA,"""La Sainté-Lyon, une épreuve dans l'ère du temps ? 1952-2007"". Master 2 en histoire du sport.","""La Sainté-Lyon, une épreuve dans l'ère du temps ? 1952-2007"". Master 2 en histoire du sport.","Support mixte","0,05",1
6934,"Archives municipales de St Etienne","S","30/06/2008","Archives privées","Don",NA,NA,"""Des bataillons scolaires aux associations patriotiques à Saint-Etienne (1882-1914)"" : mémoire de M2 en histoire.","""Des bataillons scolaires aux associations patriotiques à Saint-Etienne (1882-1914)"" : mémoire de M2 en histoire.","Support papier","0,05",1
6935,"Archives municipales de St Etienne","S","02/07/2008","Archives privées","Don",NA,NA,"""Approche historique de la formation stéphanoise"" : mémoire de M1 histoire.","""Approche historique de la formation stéphanoise"" : mémoire de M1 histoire.","Support papier","0,05",1
6936,"Archives municipales de St Etienne","W","10/07/2008","Archives publiques","Versement",NA,NA,"ETUDES SURVEILLEES : dossiers surveillants d'études ; listes des enfants inscrits, candidatures au conseil municipal des enfants","ETUDES SURVEILLEES : dossiers surveillants d'études ; listes des enfants inscrits, candidatures au conseil municipal des enfants","Support papier","1,30",13
6937,"Archives municipales de St Etienne","FI","04/07/2008","Archives privées","Don",NA,NA,"2 cartes postales","2 cartes postales","Support papier","0,05",2
6938,"Archives municipales de St Etienne","W","24/07/2008","Archives publiques","Versement",NA,NA,"MOUS Crêt de Roc - Terrenoire","MOUS Crêt de Roc - Terrenoire","Support papier","1,70",14
